"season","team","points","h_plays","h_wins","h_draws","h_losses","h_scored","h_conceded","h_ww","h_dw","h_lw","h_wd","h_dd","h_ld","h_wl","h_dl","h_ll","a_plays","a_wins","a_draws","a_losses","a_scored","a_conceded","a_ww","a_dw","a_lw","a_wd","a_dd","a_ld","a_wl","a_dl","a_ll","all_plays","all_wins","all_draws","all_losses","all_scored","all_conceded","all_ww","all_dw","all_lw","all_wd","all_dd","all_ld","all_wl","all_dl","all_ll"
"2010-2011","Arsenal","68","19","11","4","4","33","15","5","5","1","0","4","0","1","1","2","19","8","7","4","39","28","7","1","0","4","2","1","0","0","4","38","19","11","8","72","43","12","6","1","4","6","1","1","1","6"
"2010-2011","Aston Villa","48","19","8","7","4","26","19","6","2","0","1","6","0","0","1","3","19","4","5","10","22","40","2","2","0","1","3","1","2","2","6","38","12","12","14","48","59","8","4","0","2","9","1","2","3","9"
"2010-2011","Birmingham","39","19","6","8","5","19","22","4","2","0","0","6","2","0","2","3","19","2","7","10","18","36","1","1","0","2","4","1","1","3","6","38","8","15","15","37","58","5","3","0","2","10","3","1","5","9"
"2010-2011","Blackburn","43","19","7","7","5","22","16","6","1","0","2","4","1","0","4","1","19","4","3","12","24","43","3","1","0","2","1","0","0","9","3","38","11","10","17","46","59","9","2","0","4","5","1","0","13","4"
"2010-2011","Blackpool","39","19","5","5","9","30","37","4","1","0","0","4","1","1","1","7","19","5","4","10","25","41","3","2","0","2","2","0","0","4","6","38","10","9","19","55","78","7","3","0","2","6","1","1","5","13"
"2010-2011","Bolton","46","19","10","5","4","34","24","7","3","0","0","3","2","0","1","3","19","2","5","12","18","32","1","1","0","0","5","0","1","3","8","38","12","10","16","52","56","8","4","0","0","8","2","1","4","11"
"2010-2011","Chelsea","71","19","14","3","2","39","13","8","5","1","1","2","0","0","1","1","19","7","5","7","30","20","5","2","0","0","4","1","0","2","5","38","21","8","9","69","33","13","7","1","1","6","1","0","3","6"
"2010-2011","Everton","54","19","9","7","3","31","23","3","5","1","2","4","1","0","0","3","19","4","8","7","20","22","3","1","0","0","5","3","1","1","5","38","13","15","10","51","45","6","6","1","2","9","4","1","1","8"
"2010-2011","Fulham","49","19","8","7","4","30","23","5","2","1","0","4","3","0","1","3","19","3","9","7","19","20","3","0","0","2","3","4","0","2","5","38","11","16","11","49","43","8","2","1","2","7","7","0","3","8"
"2010-2011","Liverpool","58","19","12","4","3","37","14","7","4","1","2","2","0","0","1","2","19","5","3","11","22","30","3","2","0","1","2","0","1","3","7","38","17","7","14","59","44","10","6","1","3","4","0","1","4","9"
"2010-2011","Man City","71","19","13","4","2","34","12","10","3","0","1","2","1","0","0","2","19","8","4","7","26","21","6","2","0","1","3","0","1","3","3","38","21","8","9","60","33","16","5","0","2","5","1","1","3","5"
"2010-2011","Man United","80","19","18","1","0","49","12","15","3","0","1","0","0","0","0","0","19","5","10","4","29","25","2","1","2","1","8","1","1","1","2","38","23","11","4","78","37","17","4","2","2","8","1","1","1","2"
"2010-2011","Newcastle","46","19","6","8","5","41","27","6","0","0","1","5","2","1","0","4","19","5","5","9","15","30","4","1","0","0","4","1","0","3","6","38","11","13","14","56","57","10","1","0","1","9","3","1","3","10"
"2010-2011","Stoke","46","19","10","4","5","31","18","6","3","1","0","3","1","0","2","3","19","3","3","13","15","30","0","2","1","0","3","0","0","3","10","38","13","7","18","46","48","6","5","2","0","6","1","0","5","13"
"2010-2011","Sunderland","47","19","7","5","7","25","27","5","2","0","1","3","1","1","4","2","19","5","6","8","20","29","4","1","0","0","6","0","0","3","5","38","12","11","15","45","56","9","3","0","1","9","1","1","7","7"
"2010-2011","Tottenham","62","19","9","9","1","30","19","4","3","2","1","7","1","0","1","0","19","7","5","7","25","27","4","2","1","1","4","0","0","2","5","38","16","14","8","55","46","8","5","3","2","11","1","0","3","5"
"2010-2011","West Brom","47","19","8","6","5","30","30","3","3","2","2","2","2","0","3","2","19","4","5","10","26","41","1","2","1","0","3","2","0","2","8","38","12","11","15","56","71","4","5","3","2","5","4","0","5","10"
"2010-2011","West Ham","33","19","5","5","9","24","31","4","1","0","0","3","2","1","4","4","19","2","7","10","19","39","2","0","0","2","3","2","1","1","8","38","7","12","19","43","70","6","1","0","2","6","4","2","5","12"
"2010-2011","Wigan","42","19","5","8","6","22","34","0","4","1","1","5","2","0","1","5","19","4","7","8","18","27","2","2","0","2","4","1","0","3","5","38","9","15","14","40","61","2","6","1","3","9","3","0","4","10"
"2010-2011","Wolves","40","19","8","4","7","30","30","6","2","0","3","1","0","0","0","7","19","3","3","13","16","36","1","2","0","1","1","1","2","4","7","38","11","7","20","46","66","7","4","0","4","2","1","2","4","14"
"2011-2012","Arsenal","70","19","12","4","3","39","17","4","8","0","0","3","1","0","1","2","19","9","3","7","35","32","4","4","1","0","3","0","2","3","2","38","21","7","10","74","49","8","12","1","0","6","1","2","4","4"
"2011-2012","Aston Villa","38","19","4","7","8","20","25","2","2","0","3","3","1","0","3","5","19","3","10","6","17","28","1","1","1","2","7","1","0","1","5","38","7","17","14","37","53","3","3","1","5","10","2","0","4","10"
"2011-2012","Blackburn","31","19","6","1","12","26","33","4","1","1","0","0","1","0","8","4","19","2","6","11","22","45","2","0","0","2","2","2","1","0","10","38","8","7","23","48","78","6","1","1","2","2","3","1","8","14"
"2011-2012","Bolton","36","19","4","4","11","23","39","4","0","0","2","2","0","0","3","8","19","6","2","11","23","38","3","3","0","1","1","0","0","6","5","38","10","6","22","46","77","7","3","0","3","3","0","0","9","13"
"2011-2012","Chelsea","64","19","12","3","4","41","24","7","4","1","1","2","0","1","1","2","19","6","7","6","24","22","4","2","0","1","5","1","0","2","4","38","18","10","10","65","46","11","6","1","2","7","1","1","3","6"
"2011-2012","Everton","56","19","10","3","6","28","15","5","5","0","2","0","1","0","2","4","19","5","8","6","22","25","1","4","0","1","6","1","0","2","4","38","15","11","12","50","40","6","9","0","3","6","2","0","4","8"
"2011-2012","Fulham","52","19","10","5","4","36","26","6","2","2","0","3","2","0","0","4","19","4","5","10","12","25","4","0","0","1","4","0","0","4","6","38","14","10","14","48","51","10","2","2","1","7","2","0","4","10"
"2011-2012","Liverpool","52","19","6","9","4","24","16","4","2","0","2","5","2","0","2","2","19","8","1","10","23","24","5","3","0","0","1","0","0","5","5","38","14","10","14","47","40","9","5","0","2","6","2","0","7","7"
"2011-2012","Man City","89","19","18","1","0","55","12","12","6","0","0","0","1","0","0","0","19","10","4","5","38","17","6","4","0","1","3","0","0","5","0","38","28","5","5","93","29","18","10","0","1","3","1","0","5","0"
"2011-2012","Man United","89","19","15","2","2","52","19","12","3","0","0","2","0","0","0","2","19","13","3","3","37","14","11","2","0","1","1","1","0","1","2","38","28","5","5","89","33","23","5","0","1","3","1","0","1","4"
"2011-2012","Newcastle","65","19","11","5","3","29","17","7","4","0","1","2","2","0","1","2","19","8","3","8","27","34","6","2","0","0","2","1","1","3","4","38","19","8","11","56","51","13","6","0","1","4","3","1","4","6"
"2011-2012","Norwich","47","19","7","6","6","28","30","5","2","0","2","2","2","0","2","4","19","5","5","9","24","36","2","2","1","2","2","1","0","3","6","38","12","11","15","52","66","7","4","1","4","4","3","0","5","10"
"2011-2012","QPR","37","19","7","5","7","24","25","4","3","0","1","4","0","1","2","4","19","3","2","14","19","41","3","0","0","1","0","1","0","2","12","38","10","7","21","43","66","7","3","0","2","4","1","1","4","16"
"2011-2012","Stoke","45","19","7","8","4","25","20","4","3","0","0","4","4","0","1","3","19","4","4","11","11","33","2","1","1","0","2","2","0","4","7","38","11","12","15","36","53","6","4","1","0","6","6","0","5","10"
"2011-2012","Sunderland","45","19","7","7","5","26","17","4","2","1","1","6","0","0","3","2","19","4","5","10","19","29","2","2","0","2","2","1","0","5","5","38","11","12","15","45","46","6","4","1","3","8","1","0","8","7"
"2011-2012","Swansea","47","19","8","7","4","27","18","3","5","0","3","3","1","1","1","2","19","4","4","11","17","33","3","1","0","1","3","0","0","2","9","38","12","11","15","44","51","6","6","0","4","6","1","1","3","11"
"2011-2012","Tottenham","69","19","13","3","3","39","17","11","2","0","0","2","1","0","1","2","19","7","6","6","27","24","3","4","0","2","3","1","0","3","3","38","20","9","9","66","41","14","6","0","2","5","2","0","4","5"
"2011-2012","West Brom","47","19","6","3","10","21","22","4","2","0","0","3","0","0","7","3","19","7","5","7","24","30","3","4","0","0","3","2","1","1","5","38","13","8","17","45","52","7","6","0","0","6","2","1","8","8"
"2011-2012","Wigan","43","19","5","7","7","22","27","3","2","0","1","6","0","0","0","7","19","6","3","10","20","35","3","3","0","1","1","1","0","5","5","38","11","10","17","42","62","6","5","0","2","7","1","0","5","12"
"2011-2012","Wolves","25","19","3","3","13","19","43","1","2","0","0","2","1","2","5","6","19","2","7","10","21","39","0","1","1","1","3","3","0","3","7","38","5","10","23","40","82","1","3","1","1","5","4","2","8","13"
"2012-2013","Arsenal","73","19","11","5","3","47","23","5","6","0","0","4","1","0","2","1","19","10","5","4","25","14","6","4","0","0","4","1","0","0","4","38","21","10","7","72","37","11","10","0","0","8","2","0","2","5"
"2012-2013","Aston Villa","41","19","5","5","9","23","28","2","3","0","1","4","0","3","1","5","19","5","6","8","24","41","3","2","0","3","2","1","1","2","5","38","10","11","17","47","69","5","5","0","4","6","1","4","3","10"
"2012-2013","Chelsea","75","19","12","5","2","41","16","8","2","2","3","2","0","0","1","1","19","10","4","5","34","23","6","3","1","2","2","0","1","2","2","38","22","9","7","75","39","14","5","3","5","4","0","1","3","3"
"2012-2013","Everton","63","19","12","6","1","33","17","8","3","1","2","3","1","0","1","0","19","4","9","6","22","23","2","1","1","1","6","2","2","2","2","38","16","15","7","55","40","10","4","2","3","9","3","2","3","2"
